county_o,county_d,trips,distance_km,pair_count
USA.26.24_1,USA.26.24_1,1089989,7.9304852607709755,441
USA.26.24_1,USA.26.48_1,211705,22.203512736443884,2379
USA.26.24_1,USA.26.83_1,137199,12.273286772486772,189
USA.26.48_1,USA.26.24_1,207788,22.202035042016806,2380
USA.26.48_1,USA.26.48_1,4853414,9.168998674884437,12980
USA.26.48_1,USA.26.83_1,80125,26.53948064516129,1023
USA.26.83_1,USA.26.24_1,133956,12.273286772486772,189
USA.26.83_1,USA.26.48_1,76613,26.52302717497556,1023
USA.26.83_1,USA.26.83_1,403097,5.486740740740741,81
