county_o,county_d,trips,distance_km,pair_count
USA.44.220_1,USA.44.220_1,11792736,13.831122070982053,19836
USA.44.220_1,USA.44.43_1,12895,55.786881123595506,1335
USA.44.220_1,USA.44.57_1,401155,51.328035507246376,27186
USA.44.43_1,USA.44.220_1,13686,55.73754303249097,1385
USA.44.43_1,USA.44.43_1,387705,2.9626462222222223,225
USA.44.43_1,USA.44.57_1,237817,22.21607400152633,3931
USA.44.57_1,USA.44.220_1,406553,51.36313003072197,27342
USA.44.57_1,USA.44.43_1,233974,22.216997094801222,3924
USA.44.57_1,USA.44.57_1,20538005,14.2859108892253,75965
