county_o,county_d,trips,distance_km,pair_count
USA.22.13_1,USA.22.13_1,11649985,5.9699923749086325,30098
USA.22.13_1,USA.22.9_1,42217,5.768936781609195,174
USA.22.9_1,USA.22.13_1,43510,5.768936781609195,174
USA.22.9_1,USA.22.9_1,7343,0.0,1
